remark,"CSV-Import-Export"
remark,"Date = Mon Aug 31 12:41:07 2026"
remark,"Version = RSLogix 5000 v38.01"
remark,"Owner = Daniel Liddiard"
remark,"Controller = TECE1250ServoMotorsandDrives"
remark,"Step 2 only. Import Seq_Status_tags.csv (step 1) first."
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,Axis_Fault_141,"Axis 141 fault word non-zero. Drives that axis row on the manual screen and feeds Axis_Faulted.",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Axis_Fault_142,"Axis 142 fault word non-zero. Drives that axis row on the manual screen and feeds Axis_Faulted.",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Axis_Fault_143,"Axis 143 fault word non-zero. Drives that axis row on the manual screen and feeds Axis_Faulted.",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Axis_Fault_144,"Axis 144 fault word non-zero. Drives that axis row on the manual screen and feeds Axis_Faulted.",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Axis_Fault_145,"Axis 145 fault word non-zero. Drives that axis row on the manual screen and feeds Axis_Faulted.",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Jog_Speed_Man_141,"Manual jog speed axis 141, in/s. Replaces the literal 10.0 in Manual_Conv. Defaults to 10.0.",REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Jog_Speed_Man_142,"Manual jog speed axis 142, in/s. Replaces the literal 10.0 in Manual_Conv. Defaults to 10.0.",REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Jog_Speed_Man_143,"Manual jog speed axis 143, in/s. Replaces the literal 10.0 in Manual_Conv. Defaults to 10.0.",REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Jog_Speed_Man_144,"Manual jog speed axis 144, in/s. Replaces the literal 10.0 in Manual_Conv. Defaults to 10.0.",REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Jog_Speed_Man_145,"Manual jog speed axis 145, in/s. Replaces the literal 10.0 in Manual_Conv. Defaults to 10.0.",REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Sel_Axis,"Axis number the manual faceplate is showing (141-145). Written by the HMI nav button. No ladder reads it.",DINT,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
